"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 00:00","2019","04","05","00:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 01:00","2019","04","05","01:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 02:00","2019","04","05","02:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 03:00","2019","04","05","03:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 04:00","2019","04","05","04:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 05:00","2019","04","05","05:00","-9.9","","-14.0","","72","","","","36","","7","","24.1","","98.33","","","","-14","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 06:00","2019","04","05","06:00","-10.5","","-14.7","","72","","","","35","","7","","24.1","","98.37","","","","-15","","Mainly Clear"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 07:00","2019","04","05","07:00","-10.4","","-14.4","","73","","","","1","","5","","24.1","","98.40","","","","-13","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 08:00","2019","04","05","08:00","-10.2","","-14.6","","70","","","","1","","5","","24.1","","98.41","","","","-13","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 09:00","2019","04","05","09:00","-8.5","","-14.1","","64","","","","36","","3","","24.1","","98.40","","","","-10","","Mostly Cloudy"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 10:00","2019","04","05","10:00","-6.1","","-13.0","","58","","","","6","","4","","24.1","","98.37","","","","-8","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 11:00","2019","04","05","11:00","-4.5","","-13.5","","50","","","","16","","4","","24.1","","98.35","","","","-6","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 12:00","2019","04","05","12:00","-2.7","","-12.5","","47","","","","24","","9","","24.1","","98.34","","","","-6","","Mostly Cloudy"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 13:00","2019","04","05","13:00","-1.7","","-11.9","","46","","","","19","","3","","24.1","","98.28","","","","-3","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 14:00","2019","04","05","14:00","-0.9","","-11.9","","43","","","","18","","5","","24.1","","98.21","","","","-3","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 15:00","2019","04","05","15:00","-1.2","","-12.2","","43","","","","21","","6","","24.1","","98.17","","","","-3","","Mostly Cloudy"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 16:00","2019","04","05","16:00","0.3","","-11.3","","42","","","","23","","5","","24.1","","98.13","","","","","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 17:00","2019","04","05","17:00","-0.2","","-10.9","","44","","","","26","","7","","24.1","","98.10","","","","-3","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 18:00","2019","04","05","18:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 19:00","2019","04","05","19:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 20:00","2019","04","05","20:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 21:00","2019","04","05","21:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 22:00","2019","04","05","22:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-05 23:00","2019","04","05","23:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 00:00","2019","04","06","00:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 01:00","2019","04","06","01:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 02:00","2019","04","06","02:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 03:00","2019","04","06","03:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 04:00","2019","04","06","04:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 05:00","2019","04","06","05:00","-10.5","","-12.4","","86","","","","3","","5","","24.1","","98.14","","","","-14","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 06:00","2019","04","06","06:00","-10.9","","-13.0","","85","","","","3","","5","","24.1","","98.13","","","","-14","","Mainly Clear"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 07:00","2019","04","06","07:00","-9.5","","-12.1","","81","","","","2","","5","","24.1","","98.12","","","","-12","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-06 08:00","2019","04","06","08:00","-8.1","","-11.1","","79","","","","3","","4","","24.1","","98.18","","","","-10","","NA"
